date,VOO,QQQ,VEA,IEMG,IEF,SCHP,SGOL,BENCH_US,BENCH_INTL,BENCH_BOND,SGOV,CAOS,DBMF
1975-02-28,,,,,,,,,,,0.004733,0.004733,
1975-03-31,,,,,,,,,,,0.004500,0.004500,
1975-04-30,,,,,,,,,,,0.004608,0.004608,
1975-05-31,,,,,,,,,,,0.004583,0.004583,
1975-06-30,,,,,,,,,,,0.004333,0.004333,
1975-07-31,,,,,,,,,,,0.004883,0.004883,
1975-08-31,,,,,,,,,,,0.005208,0.005208,
1975-09-30,,,,,,,,,,,0.005300,0.005300,
1975-10-31,,,,,,,,,,,0.005483,0.005483,
1975-11-30,,,,,,,,,,,0.004592,0.004592,
1975-12-31,,,,,,,,,,,0.004617,0.004617,
1976-01-31,,,,,,,,,,,0.004333,0.004333,
1976-02-29,,,,,,,,,,,0.003942,0.003942,
1976-03-31,,,,,,,,,,,0.004167,0.004167,
1976-04-30,,,,,,,,,,,0.004142,0.004142,
1976-05-31,,,,,,,,,,,0.004092,0.004092,
1976-06-30,,,,,,,,,,,0.004575,0.004575,
1976-07-31,,,,,,,,,,,0.004475,0.004475,
1976-08-31,,,,,,,,,,,0.004308,0.004308,
1976-09-30,,,,,,,,,,,0.004242,0.004242,
1976-10-31,,,,,,,,,,,0.004217,0.004217,
1976-11-30,,,,,,,,,,,0.004075,0.004075,
1976-12-31,,,,,,,,,,,0.003683,0.003683,
1977-01-31,,,,,,,,,,,0.003617,0.003617,
1977-02-28,,,,,,,,,,,0.003933,0.003933,
1977-03-31,,,,,,,,,,,0.003917,0.003917,
1977-04-30,,,,,,,,,,,0.003783,0.003783,
1977-05-31,,,,,,,,,,,0.003908,0.003908,
1977-06-30,,,,,,,,,,,0.004192,0.004192,
1977-07-31,,,,,,,,,,,0.004150,0.004150,
1977-08-31,,,,,,,,,,,0.004500,0.004500,
1977-09-30,,,,,,,,,,,0.004633,0.004633,
1977-10-31,,,,,,,,,,,0.004908,0.004908,
1977-11-30,,,,,,,,,,,0.005150,0.005150,
1977-12-31,,,,,,,,,,,0.005033,0.005033,
1978-01-31,,,,,,,,,,,0.005108,0.005108,
1978-02-28,,,,,,,,,,,0.005350,0.005350,
1978-03-31,,,,,,,,,,,0.005350,0.005350,
1978-04-30,,,,,,,,,,,0.005392,0.005392,
1978-05-31,,,,,,,,,,,0.005292,0.005292,
1978-06-30,,,,,,,,,,,0.005542,0.005542,
1978-07-31,,,,,,,,,,,0.005842,0.005842,
1978-08-31,,,,,,,,,,,0.005633,0.005633,
1978-09-30,,,,,,,,,,,0.006283,0.006283,
1978-10-31,,,,,,,,,,,0.006650,0.006650,
1978-11-30,,,,,,,,,,,0.007292,0.007292,
1978-12-31,,,,,,,,,,,0.007508,0.007508,
1979-01-31,,,,,,,,,,,0.007717,0.007717,
1979-02-28,,,,,,,,,,,0.007742,0.007742,
1979-03-31,,,,,,,,,,,0.007875,0.007875,
1979-04-30,,,,,,,,,,,0.007867,0.007867,
1979-05-31,,,,,,,,,,,0.007967,0.007967,
1979-06-30,,,,,,,,,,,0.007975,0.007975,
1979-07-31,,,,,,,,,,,0.007458,0.007458,
1979-08-31,,,,,,,,,,,0.007650,0.007650,
1979-09-30,,,,,,,,,,,0.008175,0.008175,
1979-10-31,,,,,,,,,,,0.008433,0.008433,
1979-11-30,,,,,,,,,,,0.010100,0.010100,
1979-12-31,,,,,,,,,,,0.009575,0.009575,
1980-01-31,,,,,,,,,,,0.010033,0.010033,
1980-02-29,0.003868,,,,,,,0.003869,,,0.010000,0.010000,
1980-03-31,-0.097905,,,,,,,-0.097906,,,0.011675,0.011675,
1980-04-30,0.043228,,,,,,,0.043227,,,0.011867,0.011867,
1980-05-31,0.055249,,,,,,,0.055248,,,0.008658,0.008658,
1980-06-30,0.027963,,,,,,,0.027963,,,0.006458,0.006458,
1980-07-31,0.066238,,,,,,,0.066238,,,0.006567,0.006567,
1980-08-31,0.012665,,,,,,,0.012665,,,0.007183,0.007183,
1980-09-30,0.026949,,,,,,,0.026949,,,0.008300,0.008300,
1980-10-31,0.019906,,,,,,,0.019906,,,0.009533,0.009533,
1980-11-30,0.109644,,,,,,,0.109644,,,0.010592,0.010592,
1980-12-31,-0.059411,,,,,,,-0.059411,,,0.012067,0.012067,
1981-01-31,-0.044282,,,,,,,-0.044282,,,0.011917,0.011917,
1981-02-28,0.021114,,,,,,,0.021114,,,0.012158,0.012158,
1981-03-31,0.037318,,,,,,,0.037317,,,0.011850,0.011850,
1981-04-30,-0.021812,,,,,,,-0.021812,,,0.010383,0.010383,
1981-05-31,0.006289,,,,,,,0.006290,,,0.012383,0.012383,
1981-06-30,-0.008576,,,,,,,-0.008576,,,0.012583,0.012583,
1981-07-31,0.000000,,,,,,,0.000000,,,0.011900,0.011900,
1981-08-31,-0.054429,,,,,,,-0.054429,,,0.012392,0.012392,
1981-09-30,-0.050193,,,,,,,-0.050193,,,0.012933,0.012933,
1981-10-31,0.052185,,,,,,,0.052185,,,0.011950,0.011950,
1981-11-30,0.044017,,,,,,,0.044017,,,0.010625,0.010625,
1981-12-31,-0.061733,,,,,,,-0.061733,,,0.008642,0.008642,
1982-01-31,-0.014819,,,,,,,-0.014819,,,0.009233,0.009233,
1982-02-28,-0.051014,,,,,,,-0.051014,,,0.010433,0.010433,
1982-03-31,-0.006927,,,,,,,-0.006926,,,0.010367,0.010367,
1982-04-30,0.041462,,,,,,,0.041462,,,0.011050,0.011050,
1982-05-31,-0.028340,,,,,,,-0.028340,,,0.010283,0.010283,
1982-06-30,-0.016043,,,,,,,-0.016043,,,0.009583,0.009583,
1982-07-31,-0.022159,,,,,,,-0.022159,,,0.010633,0.010633,
1982-08-31,0.124268,,,,,,,0.124269,,,0.008475,0.008475,
1982-09-30,0.010100,,,,,,,0.010099,,,0.007017,0.007017,
1982-10-31,0.111328,,,,,,,0.111328,,,0.006350,0.006350,
1982-11-30,0.042180,,,,,,,0.042179,,,0.006583,0.006583,
1982-12-31,0.002974,,,,,,,0.002975,,,0.006900,0.006900,
1983-01-31,0.034168,,,,,,,0.034168,,,0.006600,0.006600,
1983-02-28,0.024780,,,,,,,0.024780,,,0.006750,0.006750,
1983-03-31,0.034999,,,,,,,0.034999,,,0.006608,0.006608,
1983-04-30,0.075995,,,,,,,0.075995,,,0.007200,0.007200,
1983-05-31,-0.008767,,,,,,,-0.008767,,,0.006733,0.006733,
1983-06-30,0.037329,,,,,,,0.037329,,,0.007192,0.007192,
1983-07-31,-0.032489,,,,,,,-0.032490,,,0.007325,0.007325,
1983-08-31,0.018272,,,,,,,0.018272,,,0.007683,0.007683,
1983-09-30,0.012489,,,,,,,0.012489,,,0.007717,0.007717,
1983-10-31,-0.014009,,,,,,,-0.014010,,,0.007258,0.007258,
1983-11-30,0.022537,,,,,,,0.022538,,,0.007092,0.007092,
1983-12-31,-0.040777,,,,,,,-0.040777,,,0.007400,0.007400,
1984-01-31,-0.005076,,,,,,,-0.005076,,,0.007475,0.007475,
1984-02-29,-0.033163,,,,,,,-0.033164,,,0.007408,0.007408,
1984-03-31,0.016469,,,,,,,0.016469,,,0.007617,0.007617,
1984-04-30,0.006814,,,,,,,0.006813,,,0.008100,0.008100,
1984-05-31,-0.053618,,,,,,,-0.053617,,,0.008100,0.008100,
1984-06-30,0.022106,,,,,,,0.022105,,,0.008125,0.008125,
1984-07-31,-0.014674,,,,,,,-0.014674,,,0.008267,0.008267,
1984-08-31,0.111969,,,,,,,0.111968,,,0.008667,0.008667,
1984-09-30,-0.000045,,,,,,,-0.000044,,,0.008858,0.008858,
1984-10-31,0.002503,,,,,,,0.002502,,,0.008517,0.008517,
1984-11-30,-0.009985,,,,,,,-0.009985,,,0.007508,0.007508,
1984-12-31,0.001254,,,,,,,0.001253,,,0.007033,0.007033,
1985-01-31,0.075820,,,,,,,0.075820,,,0.006542,0.006542,
1985-02-28,0.013809,,,,,,,0.013810,,,0.006708,0.006708,
1985-03-31,0.000053,,,,,,,0.000052,,,0.007083,0.007083,
1985-04-30,-0.002843,,,,,,,-0.002842,,,0.006817,0.006817,
1985-05-31,0.060332,,,,,,,0.060332,,,0.006542,0.006542,
1985-06-30,0.014358,,,,,,,0.014359,,,0.005950,0.005950,
1985-07-31,-0.002225,,,,,,,-0.002226,,,0.005692,0.005692,
